lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,,,,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),type,number of rules
populationMetroDensity-of,noun,population Metro Density,population Metro Densities,of,NounPPFrame,range,domain,1,dbo:populationMetroDensity,,,,,,,,,,,,,,
populationRural-of,noun,population Rural,population Rurals,of,NounPPFrame,range,domain,1,dbo:populationRural,,,,,,,,,,,,,,
populationTotalRanking-of,noun,population Total Ranking,population Total Rankings,of,NounPPFrame,range,domain,1,dbo:populationTotalRanking,,,,,,,,,,,,,,
populationUrbanDensity-of,noun,population Urban Density,population Urban Densities,of,NounPPFrame,range,domain,1,dbo:populationUrbanDensity,,,,,,,,,,,,,,
portrayer-of,noun,portrayer,portrayers,of,NounPPFrame,range,domain,1,dbo:portrayer,,,,,,,,,,,,,,
postalCode-of,noun,postal Code,postal Codes,of,NounPPFrame,range,domain,1,dbo:postalCode,,,,,,,,,,,,,,
powerType-of,noun,power Type,power Types,of,NounPPFrame,range,domain,1,dbo:powerType,,,,,,,,,,,,,,
predecessor-of,noun,predecessor,predecessors,of,NounPPFrame,range,domain,1,dbo:predecessor,,,,,,,,,,,,,,
premierePlace-of,noun,premiere Place,premiere Places,of,NounPPFrame,range,domain,1,dbo:premierePlace,,,,,,,,,,,,,,
presenter-of,noun,presenter,presenters,of,NounPPFrame,range,domain,1,dbo:presenter,,,,,,,,,,,,,,
previousEditor-of,noun,previous Editor,previous Editors,of,NounPPFrame,range,domain,1,dbo:previousEditor,,,,,,,,,,,,,,
previousInfrastructure-of,noun,previous Infrastructure,previous Infrastructures,of,NounPPFrame,range,domain,1,dbo:previousInfrastructure,,,,,,,,,,,,,,
primeMinister-of,noun,prime Minister,prime Ministers,of,NounPPFrame,range,domain,1,dbo:primeMinister,,,,,,,,,,,,,,
principalArea-of,noun,principal Area,principal Areas,of,NounPPFrame,range,domain,1,dbo:principalArea,,,,,,,,,,,,,,
producer-of,noun,producer,producers,of,NounPPFrame,range,domain,1,dbo:producer,,,,,,,,,,,,,,
productionEndYear-of,noun,production End Year,production End Years,of,NounPPFrame,range,domain,1,dbo:productionEndYear,,,,,,,,,,,,,,
productionStartYear-of,noun,production Start Year,production Start Years,of,NounPPFrame,range,domain,1,dbo:productionStartYear,,,,,,,,,,,,,,
production-of,noun,production,productions,of,NounPPFrame,range,domain,1,dbo:production,,,,,,,,,,,,,,
programCost-of,noun,program Cost,program Costs,of,NounPPFrame,range,domain,1,dbo:programCost,,,,,,,,,,,,,,
programmingLanguage-of,noun,programming Language,programming Languages,of,NounPPFrame,range,domain,1,dbo:programmingLanguage,,,,,,,,,,,,,,
projectBudgetTotal-of,noun,project Budget Total,-,of,NounPPFrame,range,domain,1,dbo:projectBudgetTotal,,,,,,,,,,,,,,
projectEndDate-of,noun,project End Date,project End Dates,of,NounPPFrame,range,domain,1,dbo:projectEndDate,,,,,,,,,,,,,,
projectParticipant-of,noun,project Participant,project Participants,of,NounPPFrame,range,domain,1,dbo:projectParticipant,,,,,,,,,,,,,,
prominence-of,noun,prominence,prominence,of,NounPPFrame,range,domain,1,dbo:prominence,,,,,,,,,,,,,,
prospectLeague-of,noun,prospect League,prospect Leagues,of,NounPPFrame,range,domain,1,dbo:prospectLeague,,,,,,,,,,,,,,
protein-of,noun,protein,proteins,of,NounPPFrame,range,domain,1,dbo:protein,,,,,,,,,,,,,,
provost-of,noun,provost,provosties,of,NounPPFrame,range,domain,1,dbo:provost,,,,,,,,,,,,,,
pubchem-of,noun,pubchem,-,of,NounPPFrame,range,domain,1,dbo:pubchem,,,,,,,,,,,,,,
publiclyAccessible-of,noun,publicly Accessible,-,of,NounPPFrame,range,domain,1,dbo:publiclyAccessible,,,,,,,,,,,,,,
purpose-of,noun,purpose,purposes,of,NounPPFrame,range,domain,1,dbo:purpose,,,,,,,,,,,,,,
races-of,noun,race,races,of,NounPPFrame,range,domain,1,dbo:races,,,,,,,,,,,,,,
race-of,noun,race,races,of,NounPPFrame,range,domain,1,dbo:race,,,,,,,,,,,,,,
railwayLineUsingTunnel-of,noun,railway Line Using Tunnel,railway Line Using Tunnels,of,NounPPFrame,range,domain,1,dbo:railwayLineUsingTunnel,,,,,,,,,,,,,,
railwayRollingStock-of,noun,railway Rolling Stock,railway Rolling Stocks,of,NounPPFrame,range,domain,1,dbo:railwayRollingStock,,,,,,,,,,,,,,
ranking-of,noun,ranking,rankings,of,NounPPFrame,range,domain,1,dbo:ranking,,,,,,,,,,,,,,
rating-of,noun,rating,ratings,of,NounPPFrame,range,domain,1,dbo:rating,,,,,,,,,,,,,,
rebuildDate-of,noun,rebuild Date,rebuild Dates,of,NounPPFrame,range,domain,1,dbo:rebuildDate,,,,,,,,,,,,,,
rebuildingDate-of,noun,rebuilding Date,rebuilding Dates,of,NounPPFrame,range,domain,1,dbo:rebuildingDate,,,,,,,,,,,,,,
recentWinner-of,noun,recent Winner,recent Winners,of,NounPPFrame,range,domain,1,dbo:recentWinner,,,,,,,,,,,,,,
recordDate-of,noun,record Date,record Dates,of,NounPPFrame,range,domain,1,dbo:recordDate,,,,,,,,,,,,,,
recordedIn-of,noun,recorded In,-,of,NounPPFrame,range,domain,1,dbo:recordedIn,,,,,,,,,,,,,,
refseqprotein-of,noun,refseq protein,refseq proteins,of,NounPPFrame,range,domain,1,dbo:refseqprotein,,,,,,,,,,,,,,
refseq-of,noun,refseq,-,of,NounPPFrame,range,domain,1,dbo:refseq,,,,,,,,,,,,,,
regionServed-of,noun,region Served,regions Served,of,NounPPFrame,range,domain,1,dbo:regionServed,,,,,,,,,,,,,,
related-of,noun,related,-,of,NounPPFrame,range,domain,1,dbo:related,,,,,,,,,,,,,,
relation-of,noun,relation,relations,of,NounPPFrame,range,domain,1,dbo:relation,,,,,,,,,,,,,,
releaseDate-of,noun,release Date,release Dates,of,NounPPFrame,range,domain,1,dbo:releaseDate,,,,,,,,,,,,,,
religion-of,noun,religion,religions,of,NounPPFrame,range,domain,1,dbo:religion,,,,,,,,,,,,,,
religiousHeadLabel-of,noun,religious Head Label,religious Head Labels,of,NounPPFrame,range,domain,1,dbo:religiousHeadLabel,,,,,,,,,,,,,,
reopeningYear-of,noun,reopening Year,reopening Years,of,NounPPFrame,range,domain,1,dbo:reopeningYear,,,,,,,,,,,,,,
reservations-of,noun,reservation,reservations,of,NounPPFrame,range,domain,1,dbo:reservations,,,,,,,,,,,,,,
restingPlace-of,noun,resting Place,resting Places,of,NounPPFrame,range,domain,1,dbo:restingPlace,,,,,,,,,,,,,,
result-of,noun,result,results,of,NounPPFrame,range,domain,1,dbo:result,,,,,,,,,,,,,,
retiredRocket-of,noun,retired Rocket,retired Rockets,of,NounPPFrame,range,domain,1,dbo:retiredRocket,,,,,,,,,,,,,,
review-of,noun,review,reviews,of,NounPPFrame,range,domain,1,dbo:review,,,,,,,,,,,,,,
rgbCoordinateGreen-of,noun,rgb Coordinate Green,rgb Coordinates Green,of,NounPPFrame,range,domain,1,dbo:rgbCoordinateGreen,,,,,,,,,,,,,,
rightChild-of,noun,right Child,right Children,of,NounPPFrame,range,domain,1,dbo:rightChild,,,,,,,,,,,,,,
rival-of,noun,rival,rivals,of,NounPPFrame,range,domain,1,dbo:rival,,,,,,,,,,,,,,
riverBranch-of,noun,river Branch,river Branchs,of,NounPPFrame,range,domain,1,dbo:riverBranch,,,,,,,,,,,,,,
riverMouth-of,noun,river Mouth,river Mouths,of,NounPPFrame,range,domain,1,dbo:riverMouth,,,,,,,,,,,,,,
rocketFunction-of,noun,rocket Function,rocket Functions,of,NounPPFrame,range,domain,1,dbo:rocketFunction,,,,,,,,,,,,,,
role-of,noun,role,roles,of,NounPPFrame,range,domain,1,dbo:role,,,,,,,,,,,,,,
routeEndLocation-of,noun,route End Location,route End Locations,of,NounPPFrame,range,domain,1,dbo:routeEndLocation,,,,,,,,,,,,,,
routeEnd-of,noun,route End,route Ends,of,NounPPFrame,range,domain,1,dbo:routeEnd,,,,,,,,,,,,,,
routeNumber-of,noun,route Number,route Numbers,of,NounPPFrame,range,domain,1,dbo:routeNumber,,,,,,,,,,,,,,
routeStartDirection-of,noun,route Start Direction,route Start Directions,of,NounPPFrame,range,domain,1,dbo:routeStartDirection,,,,,,,,,,,,,,
routeTypeAbbreviation-of,noun,route Type Abbreviation,route Type Abbreviations,of,NounPPFrame,range,domain,1,dbo:routeTypeAbbreviation,,,,,,,,,,,,,,
runningMate-of,noun,running Mate,running Mates,of,NounPPFrame,range,domain,1,dbo:runningMate,,,,,,,,,,,,,,
runwayDesignation-of,noun,runway Designation,runway Designations,of,NounPPFrame,range,domain,1,dbo:runwayDesignation,,,,,,,,,,,,,,
runwaySurface-of,noun,runway Surface,runway Surfaces,of,NounPPFrame,range,domain,1,dbo:runwaySurface,,,,,,,,,,,,,,
saint-of,noun,saint,saints,of,NounPPFrame,range,domain,1,dbo:saint,,,,,,,,,,,,,,
satScore-of,noun,sat Score,sat Scores,of,NounPPFrame,range,domain,1,dbo:satScore,,,,,,,,,,,,,,
schoolCode-of,noun,school Code,school Codes,of,NounPPFrame,range,domain,1,dbo:schoolCode,,,,,,,,,,,,,,
schoolPatron-of,noun,school Patron,school Patrons,of,NounPPFrame,range,domain,1,dbo:schoolPatron,,,,,,,,,,,,,,
school-of,noun,school,schools,of,NounPPFrame,range,domain,1,dbo:school,,,,,,,,,,,,,,
seasonNumber-of,noun,season Number,season Numbers,of,NounPPFrame,range,domain,1,dbo:seasonNumber,,,,,,,,,,,,,,
secondCommander-of,noun,second Commander,second Commanders,of,NounPPFrame,range,domain,1,dbo:secondCommander,,,,,,,,,,,,,,
secondDriverCountry-of,noun,second Driver Country,second Driver Countries,of,NounPPFrame,range,domain,1,dbo:secondDriverCountry,,,,,,,,,,,,,,
secondPopularVote-of,noun,second Popular Vote,second Popular Votes,of,NounPPFrame,range,domain,1,dbo:secondPopularVote,,,,,,,,,,,,,,
secretaryGeneral-of,noun,secretary General,secretary Generals,of,NounPPFrame,range,domain,1,dbo:secretaryGeneral,,,,,,,,,,,,,,
selibrId-of,noun,selibr Id,selibr Ids,of,NounPPFrame,range,domain,1,dbo:selibrId,,,,,,,,,,,,,,
series-of,noun,serie,series,of,NounPPFrame,range,domain,1,dbo:series,,,,,,,,,,,,,,
serviceEndYear-of,noun,service End Year,service End Years,of,NounPPFrame,range,domain,1,dbo:serviceEndYear,,,,,,,,,,,,,,
serviceStartYear-of,noun,service Start Year,service Start Years,of,NounPPFrame,range,domain,1,dbo:serviceStartYear,,,,,,,,,,,,,,
servingSize-of,noun,serving Size,serving Sizes,of,NounPPFrame,range,domain,1,dbo:servingSize,,,,,,,,,,,,,,
settingOfPlay-of,noun,setting Of Play,setting Of Plays,of,NounPPFrame,range,domain,1,dbo:settingOfPlay,,,,,,,,,,,,,,
shareDate-of,noun,share Date,share Dates,of,NounPPFrame,range,domain,1,dbo:shareDate,,,,,,,,,,,,,,
shareSource-of,noun,share Source,share Sources,of,NounPPFrame,range,domain,1,dbo:shareSource,,,,,,,,,,,,,,
shipBeam-of,noun,ship Beam,ship Beams,of,NounPPFrame,range,domain,1,dbo:shipBeam,,,,,,,,,,,,,,
shipDraft-of,noun,ship Draft,ship Drafts,of,NounPPFrame,range,domain,1,dbo:shipDraft,,,,,,,,,,,,,,
shoeNumber-of,noun,shoe Number,shoe Numbers,of,NounPPFrame,range,domain,1,dbo:shoeNumber,,,,,,,,,,,,,,
shoots-of,noun,shoot,shoots,of,NounPPFrame,range,domain,1,dbo:shoots,,,,,,,,,,,,,,
show-of,noun,show,shows,of,NounPPFrame,range,domain,1,dbo:show,,,,,,,,,,,,,,
signature-of,noun,signature,signatures,of,NounPPFrame,range,domain,1,dbo:signature,,,,,,,,,,,,,,
significantDesign-of,noun,significant Design,significant Designs,of,NounPPFrame,range,domain,1,dbo:significantDesign,,,,,,,,,,,,,,
silverMedalist-of,noun,silver Medalist,silver Medalists,of,NounPPFrame,range,domain,1,dbo:silverMedalist,,,,,,,,,,,,,,
sire-of,noun,sire,sires,of,NounPPFrame,range,domain,1,dbo:sire,,,,,,,,,,,,,,
sisterNewspaper-of,noun,sister Newspaper,sister Newspapers,of,NounPPFrame,range,domain,1,dbo:sisterNewspaper,,,,,,,,,,,,,,
sixthFormStudents-of,noun,sixth Form Student,sixth Form Students,of,NounPPFrame,range,domain,1,dbo:sixthFormStudents,,,,,,,,,,,,,,
sourceConfluenceElevation-of,noun,source Confluence Elevation,source Confluence Elevations,of,NounPPFrame,range,domain,1,dbo:sourceConfluenceElevation,,,,,,,,,,,,,,
sourceConfluencePlace-of,noun,source Confluence Place,source Confluence Places,of,NounPPFrame,range,domain,1,dbo:sourceConfluencePlace,,,,,,,,,,,,,,
sourceConfluenceState-of,noun,source Confluence State,source Confluence States,of,NounPPFrame,range,domain,1,dbo:sourceConfluenceState,,,,,,,,,,,,,,
sourceElevation-of,noun,source Elevation,source Elevations,of,NounPPFrame,range,domain,1,dbo:sourceElevation,,,,,,,,,,,,,,
sourcePlace-of,noun,source Place,source Places,of,NounPPFrame,range,domain,1,dbo:sourcePlace,,,,,,,,,,,,,,
source-of,noun,source,sources,of,NounPPFrame,range,domain,1,dbo:source,,,,,,,,,,,,,,
speaker-of,noun,speaker,speakers,of,NounPPFrame,range,domain,1,dbo:speaker,,,,,,,,,,,,,,
species-of,noun,species,species,of,NounPPFrame,range,domain,1,dbo:species,,,,,,,,,,,,,,
spike-of,noun,spike,spikes,of,NounPPFrame,range,domain,1,dbo:spike,,,,,,,,,,,,,,
spokenIn-of,noun,spoken In,-,of,NounPPFrame,range,domain,1,dbo:spokenIn,,,,,,,,,,,,,,
sportGoverningBody-of,noun,sport Governing Body,sport Governing Bodies,of,NounPPFrame,range,domain,1,dbo:sportGoverningBody,,,,,,,,,,,,,,
sport-of,noun,sport,sports,of,NounPPFrame,range,domain,1,dbo:sport,,,,,,,,,,,,,,
squadNumber-of,noun,squad Number,squad Numbers,of,NounPPFrame,range,domain,1,dbo:squadNumber,,,,,,,,,,,,,,
staff-of,noun,staff,staffs,of,NounPPFrame,range,domain,1,dbo:staff,,,,,,,,,,,,,,
startDate-of,noun,start Date,start Dates,of,NounPPFrame,range,domain,1,dbo:startDate,,,,,,,,,,,,,,
stateOfOrigin-of,noun,state Of Origin,state Of Origins,of,NounPPFrame,range,domain,1,dbo:stateOfOrigin,,,,,,,,,,,,,,
state-of,noun,state,states,of,NounPPFrame,range,domain,1,dbo:state,,,,,,,,,,,,,,
statisticLabel-of,noun,statistic Label,statistic Labels,of,NounPPFrame,range,domain,1,dbo:statisticLabel,,,,,,,,,,,,,,
statisticYear-of,noun,statistic Year,statistic Years,of,NounPPFrame,range,domain,1,dbo:statisticYear,,,,,,,,,,,,,,
strength-of,noun,strength,strengths,of,NounPPFrame,range,domain,1,dbo:strength,,,,,,,,,,,,,,
stylisticOrigin-of,noun,stylistic Origin,stylistic Origins,of,NounPPFrame,range,domain,1,dbo:stylisticOrigin,,,,,,,,,,,,,,
subjectOfPlay-of,noun,subject Of Play,subject Of Plays,of,NounPPFrame,range,domain,1,dbo:subjectOfPlay,,,,,,,,,,,,,,
subregion-of,noun,subregion,subregions,of,NounPPFrame,range,domain,1,dbo:subregion,,,,,,,,,,,,,,
subsequentWork-of,noun,subsequent Work,subsequent Works,of,NounPPFrame,range,domain,1,dbo:subsequentWork,,,,,,,,,,,,,,
subtitle-of,noun,subtitle,subtitles,of,NounPPFrame,range,domain,1,dbo:subtitle,,,,,,,,,,,,,,
successor-of,noun,successor,successors,of,NounPPFrame,range,domain,1,dbo:successor,,,,,,,,,,,,,,
summerAppearances-of,noun,summer Appearance,summer Appearances,of,NounPPFrame,range,domain,1,dbo:summerAppearances,,,,,,,,,,,,,,
supplementalDraftRound-of,noun,supplemental Draft Round,supplemental Draft Rounds,of,NounPPFrame,range,domain,1,dbo:supplementalDraftRound,,,,,,,,,,,,,,
supplies-of,noun,supply,supplies,of,NounPPFrame,range,domain,1,dbo:supplies,,,,,,,,,,,,,,
surfaceArea-of,noun,surface Area,surface Areas,of,NounPPFrame,range,domain,1,dbo:surfaceArea,,,,,,,,,,,,,,
synonym-of,noun,synonym,synonyms,of,NounPPFrame,range,domain,1,dbo:synonym,,,,,,,,,,,,,,
targetAirport-of,noun,target Airport,target Airports,of,NounPPFrame,range,domain,1,dbo:targetAirport,,,,,,,,,,,,,,
teamSize-of,noun,team Size,team Sizes,of,NounPPFrame,range,domain,1,dbo:teamSize,,,,,,,,,,,,,,
team-of,noun,team,teams,of,NounPPFrame,range,domain,1,dbo:team,,,,,,,,,,,,,,
temperature-of,noun,temperature,temperatures,of,NounPPFrame,range,domain,1,dbo:temperature,,,,,,,,,,,,,,
tennisSurfaceType-of,noun,tennis Surface Type,tennis Surface Types,of,NounPPFrame,range,domain,1,dbo:tennisSurfaceType,,,,,,,,,,,,,,
testaverage-of,noun,test average,test averages,of,NounPPFrame,range,domain,1,dbo:testaverage,,,,,,,,,,,,,,
thirdDriver-of,noun,third Driver,third Drivers,of,NounPPFrame,range,domain,1,dbo:thirdDriver,,,,,,,,,,,,,,
thirdTeam-of,noun,third Team,third Teams,of,NounPPFrame,range,domain,1,dbo:thirdTeam,,,,,,,,,,,,,,
time-of,noun,time,times,of,NounPPFrame,range,domain,1,dbo:time,,,,,,,,,,,,,,
title-of,noun,title,titles,of,NounPPFrame,range,domain,1,dbo:title,,,,,,,,,,,,,,
topSpeed-of,noun,top Speed,top Speeds,of,NounPPFrame,range,domain,1,dbo:topSpeed,,,,,,,,,,,,,,
totalLaunches-of,noun,total Launche,total Launches,of,NounPPFrame,range,domain,1,dbo:totalLaunches,,,,,,,,,,,,,,
totalTravellers-of,noun,total Traveller,total Travellers,of,NounPPFrame,range,domain,1,dbo:totalTravellers,,,,,,,,,,,,,,
trackLength-of,noun,track Length,track Lengths,of,NounPPFrame,range,domain,1,dbo:trackLength,,,,,,,,,,,,,,
trainer-of,noun,trainer,trainers,of,NounPPFrame,range,domain,1,dbo:trainer,,,,,,,,,,,,,,
translator-of,noun,translator,translators,of,NounPPFrame,range,domain,1,dbo:translator,,,,,,,,,,,,,,
trustee-of,noun,trustee,trustees,of,NounPPFrame,range,domain,1,dbo:trustee,,,,,,,,,,,,,,
twinCountry-of,noun,twin Country,twin Countries,of,NounPPFrame,range,domain,1,dbo:twinCountry,,,,,,,,,,,,,,
type-of,noun,type,types,of,NounPPFrame,range,domain,1,dbo:type,,,,,,,,,,,,,,
uciCode-of,noun,uci Code,uci Codes,of,NounPPFrame,range,domain,1,dbo:uciCode,,,,,,,,,,,,,,
undraftedYear-of,noun,undrafted Year,undrafted Years,of,NounPPFrame,range,domain,1,dbo:undraftedYear,,,,,,,,,,,,,,
unitCost-of,noun,unit Cost,unit Costs,of,NounPPFrame,range,domain,1,dbo:unitCost,,,,,,,,,,,,,,
unitedStatesNationalBridgeId-of,noun,united States National Bridge Id,united States National Bridge Ids,of,NounPPFrame,range,domain,1,dbo:unitedStatesNationalBridgeId,,,,,,,,,,,,,,
upperAge-of,noun,upper Age,upper Ages,of,NounPPFrame,range,domain,1,dbo:upperAge,,,,,,,,,,,,,,
usingCountry-of,noun,using Country,using Countries,of,NounPPFrame,range,domain,1,dbo:usingCountry,,,,,,,,,,,,,,
valvetrain-of,noun,valve train,valve trains,of,NounPPFrame,range,domain,1,dbo:valvetrain,,,,,,,,,,,,,,
vehicle-of,noun,vehicle,vehicles,of,NounPPFrame,range,domain,1,dbo:vehicle,,,,,,,,,,,,,,
vein-of,noun,vein,veins,of,NounPPFrame,range,domain,1,dbo:vein,,,,,,,,,,,,,,
viafId-of,noun,viaf Id,viaf Ids,of,NounPPFrame,range,domain,1,dbo:viafId,,,,,,,,,,,,,,
vicePrincipal-of,noun,vice Principal,vice Principals,of,NounPPFrame,range,domain,1,dbo:vicePrincipal,,,,,,,,,,,,,,
victim-of,noun,victim,victims,of,NounPPFrame,range,domain,1,dbo:victim,,,,,,,,,,,,,,
virtualChannel-of,noun,virtual Channel,virtual Channels,of,NounPPFrame,range,domain,1,dbo:virtualChannel,,,,,,,,,,,,,,
visitorsPerYear-of,noun,visitors Per Year,visitors Per Years,of,NounPPFrame,range,domain,1,dbo:visitorsPerYear,,,,,,,,,,,,,,
voice-of,noun,voice,voices,of,NounPPFrame,range,domain,1,dbo:voice,,,,,,,,,,,,,,
voltageOfElectrification-of,noun,voltage Of Electrification,voltage Of Electrifications,of,NounPPFrame,range,domain,1,dbo:voltageOfElectrification,,,,,,,,,,,,,,
volumeQuote-of,noun,volume Quote,volume Quotes,of,NounPPFrame,range,domain,1,dbo:volumeQuote,,,,,,,,,,,,,,
watershed-of,noun,watershed,watersheds,of,NounPPFrame,range,domain,1,dbo:watershed,,,,,,,,,,,,,,
wavelength-of,noun,wavelength,wavelengths,of,NounPPFrame,range,domain,1,dbo:wavelength,,,,,,,,,,,,,,
weight-of,noun,weight,weights,of,NounPPFrame,range,domain,1,dbo:weight,,,,,,,,,,,,,,
whaDraftTeam-of,noun,wha Draft Team,wha Draft Teams,of,NounPPFrame,range,domain,1,dbo:whaDraftTeam,,,,,,,,,,,,,,
width-of,noun,width,widths,of,NounPPFrame,range,domain,1,dbo:width,,,,,,,,,,,,,,
winterAppearances-of,noun,winter Appearance,winter Appearances,of,NounPPFrame,range,domain,1,dbo:winterAppearances,,,,,,,,,,,,,,
worstDefeat-of,noun,worst Defeat,worst Defeats,of,NounPPFrame,range,domain,1,dbo:worstDefeat,,,,,,,,,,,,,,
yearOfElectrification-of,noun,year Of Electrification,year Of Electrifications,of,NounPPFrame,range,domain,1,dbo:yearOfElectrification,,,,,,,,,,,,,,
year-of,noun,year,years,of,NounPPFrame,range,domain,1,dbo:year,,,,,,,,,,,,,,
